ID,Artist,Track,Popularity,Acousticness,Danceablility,Energy,Key,Mode,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Time Signature
2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,99,0.837,0.764,0.32,11,1,0.0,0.0822,-7.209,0.0546,0.575,91.019,4
6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,Don't Start Now,95,0.0125,0.794,0.793,11,0,0.0,0.0952,-4.521,0.0842,0.677,123.941,4
3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,94,0.902,0.704,0.225,6,0,0.657,0.106,-14.454,0.0994,0.243,120.006,4
696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,ROXANNE,88,0.0522,0.621,0.601,6,0,0.0,0.46,-5.616,0.148,0.457,116.735,5
4VginDwYTP2eaHJzO0QMjG,Post Malone,Circles,68,0.233,0.704,0.758,0,1,0.00144,0.0924,-3.537,0.0402,0.534,120.003,4
421leiR6jKlH5KDdwLYrOs,Tones and I,Dance Monkey,56,0.693,0.824,0.592,6,0,0.000158,0.178,-6.4,0.0969,0.54,98.074,4
1HfMVBKM75vxSfsQ5VefZ5,Selena Gomez,Lose You To Love Me,99,0.576,0.505,0.34,4,1,0.0,0.21,-9.005,0.0438,0.0916,101.993,4
1iQDltZqI7BXnHrFy4Qo1k,SHAED,Trampoline (with ZAYN),93,0.56,0.619,0.459,7,0,0.0,0.137,-5.782,0.0334,0.498,126.803,4
7aiClxsDWFRQ0Kzk5KI5ku,blackbear,hot girl bummer,97,0.128,0.778,0.559,6,0,0.0,0.399,-7.109,0.0776,0.678,129.989,1
2plLJpUcYPFrl1sW2pMG63,Harry Styles,Lights Up,95,0.0426,0.585,0.62,3,0,0.00224,0.15,-8.09,0.0327,0.281,101.939,4
7ce20yLkzuXXLUhzIDoZih,Lewis Capaldi,Before You Go,77,0.604,0.459,0.575,3,1,0.0,0.0885,-4.858,0.0573,0.183,111.881,4
1mpD5Q8IM32I4bF6eCpU74,Khalid,Up All Night,83,0.00103,0.665,0.712,1,1,0.00333,0.102,-7.536,0.0527,0.669,93.992,4
7LzouaWGFCy4tkXDOOnEyM,Camila Cabello,Liar,94,0.0169,0.74,0.498,11,0,0.00282,0.319,-6.684,0.0456,0.652,98.016,4
4yI3HpbSFSgFZtJP2kDe5m,Selena Gomez,Look At Her Now,93,0.114,0.563,0.564,10,0,0.0254,0.304,-7.906,0.271,0.55,154.355,5
07Oz5StQ7GRoygNLaXs2pd,Lizzo,Good as Hell (feat. Ariana Grande) - Remix,91,0.298,0.668,0.892,5,0,0.0,0.735,-3.001,0.0645,0.478,95.927,4
3i9UVldZOE0aD0JnyfAZZ0,Taylor Swift,Lover (Remix) [feat. Shawn Mendes],86,0.433,0.448,0.603,7,1,0.0,0.0862,-7.176,0.064,0.422,205.272,3
3GRSqlALWISqLeNncZMbpX,Lauv,Mean It,85,0.0407,0.746,0.45,7,1,0.0,0.172,-8.543,0.0872,0.336,95.998,4
6V9fHiv84WlVTg7CSnIVY2,Halsey,Graveyard,92,0.231,0.667,0.583,11,0,4.48e-05,0.181,-5.127,0.0747,0.187,92.043,4
1e9oZCCiX42nJl0AcqriVo,Harry Styles,Watermelon Sugar,86,0.122,0.548,0.816,0,1,0.0,0.335,-4.209,0.0465,0.557,95.39,4
20JtELGPfOAMq7FpUt8eSM,Ant Saunders,Yellow Hearts,84,0.117,0.866,0.399,7,1,0.0,0.0689,-10.938,0.0745,0.713,129.047,4
4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),93,0.148,0.857,0.621,9,0,0.0,0.0865,-6.376,0.0825,0.668,97.989,4
3cphb8kdsjElYR7r5icK3H,Niall Horan,Nice To Meet Ya,90,0.0119,0.591,0.841,4,0,0.0,0.395,-4.351,0.0304,0.392,109.034,4
7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,96,0.751,0.501,0.405,1,1,0.0,0.105,-5.679,0.0319,0.446,109.891,4
5aUSEPNd3m5xliFK4pn5mU,Zedd,Good Thing (with Kehlani),89,0.399,0.693,0.564,1,0,0.0,0.0409,-3.857,0.0378,0.574,185.913,3
0Z26mbSHJ1dkUu7g9DDgif,Major Lazer,Trigger,88,0.128,0.57,0.585,8,1,0.000105,0.111,-7.041,0.251,0.378,97.285,4
4TnjEaWOeW0eKTKIEvJyCa,Trevor Daniel,Falling,85,0.123,0.785,0.431,10,0,0.0,0.0887,-8.756,0.0364,0.236,127.085,4
3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,98,0.0546,0.598,0.427,7,0,5.83e-06,0.21,-8.764,0.0317,0.0605,76.469,4
6cy3ki60hLwimwIje7tALf,The Black Eyed Peas,RITMO (Bad Boys For Life),96,0.0334,0.721,0.716,10,0,0.00084,0.237,-7.037,0.0657,0.667,104.994,4
2tnVG71enUj33Ic2nFN6kZ,Regard,Ride It,95,0.177,0.88,0.751,7,0,6.43e-05,0.106,-4.258,0.0874,0.884,117.948,4
