id,artist,name,popularity
2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,99
6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,Don't Start Now,95
3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,94
696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,ROXANNE,88
4VginDwYTP2eaHJzO0QMjG,Post Malone,Circles,68
421leiR6jKlH5KDdwLYrOs,Tones and I,Dance Monkey,56
1HfMVBKM75vxSfsQ5VefZ5,Selena Gomez,Lose You To Love Me,99
1iQDltZqI7BXnHrFy4Qo1k,SHAED,Trampoline (with ZAYN),93
7aiClxsDWFRQ0Kzk5KI5ku,blackbear,hot girl bummer,97
2plLJpUcYPFrl1sW2pMG63,Harry Styles,Lights Up,95
7ce20yLkzuXXLUhzIDoZih,Lewis Capaldi,Before You Go,77
1mpD5Q8IM32I4bF6eCpU74,Khalid,Up All Night,83
7LzouaWGFCy4tkXDOOnEyM,Camila Cabello,Liar,94
4yI3HpbSFSgFZtJP2kDe5m,Selena Gomez,Look At Her Now,93
07Oz5StQ7GRoygNLaXs2pd,Lizzo,Good as Hell (feat. Ariana Grande) - Remix,91
3i9UVldZOE0aD0JnyfAZZ0,Taylor Swift,Lover (Remix) [feat. Shawn Mendes],86
3GRSqlALWISqLeNncZMbpX,Lauv,Mean It,85
6V9fHiv84WlVTg7CSnIVY2,Halsey,Graveyard,92
1e9oZCCiX42nJl0AcqriVo,Harry Styles,Watermelon Sugar,86
20JtELGPfOAMq7FpUt8eSM,Ant Saunders,Yellow Hearts,84
4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),93
3cphb8kdsjElYR7r5icK3H,Niall Horan,Nice To Meet Ya,90
7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,96
5aUSEPNd3m5xliFK4pn5mU,Zedd,Good Thing (with Kehlani),89
0Z26mbSHJ1dkUu7g9DDgif,Major Lazer,Trigger,88
4TnjEaWOeW0eKTKIEvJyCa,Trevor Daniel,Falling,85
3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,98
6cy3ki60hLwimwIje7tALf,The Black Eyed Peas,RITMO (Bad Boys For Life),96
2tnVG71enUj33Ic2nFN6kZ,Regard,Ride It,95
1jg9clsGCDqOumfS0X5xm9,Camila Cabello,Living Proof,80
7jzldCBnJjpJM3epzJ85KE,Marshmello,Tongue Tied (with YUNGBLUD & blackbear),79
6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,BOP,89
1VJwtWR6z7SpZRwipI12be,Doja Cat,Candy,85
6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,How Do You Sleep?,95
7CHi4DtfK4heMlQaudCuHK,MEDUZA,Lose Control,91
2QpGZOhTCHHiKmpSO9FW4h,Kanye West,Follow God,93
07s9NNOT0sZQp7TyolLLgu,Stormzy,Own It (feat. Ed Sheeran & Burna Boy),44
2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,96
5a6pdCHlWS2ekOOQ70QnAr,Noah Cyrus,July,86
7k4t7uLgtOxPwTpFmtJNTY,KAROL G,Tusa,87
7pWK1kMgHy5lNNiIfuRbkP,Martin Garrix,Used To Love (with Dean Lewis),86
7CZyCXKG6d5ALeq41sLzbw,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),92
2kJwzbxV2ppxnQoYw4GLBZ,JP Saxe,If The World Was Ending (feat. Julia Michaels),84
2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,"10,000 Hours (with Justin Bieber)",95
4evmHXcjt3bTUHD1cvny97,Ed Sheeran,Beautiful People (feat. Khalid),93
314ZkcV7oLWG8yWE7LABvH,BTS,Make It Right (feat. Lauv),89
6RyaV7owmVU6fzEPE17sF1,Daddy Yankee,Que Tire Pa Lante,91
56AMYGJzxBO6p8v0wEe9de,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],89
6muOWhMh7Tf0UFUtMDBhUR,Coldplay,Orphans,85
1JRK7srBWUtAW7dPabKBwJ,5 Seconds of Summer,Teeth,87
66FltlEV09mPJYAyfYm8De,YNW Melly,Bang Bang,0
598yNsG1JFrGd4n2kMoz7F,Lil Baby,Woah,84
7tgjDlQsMR8RvkdlNCJA58,Trippie Redd,6 Kiss,36
6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,Bandit (with YoungBoy Never Broke Again),94
0fySG6A6qLE8IvDpayb5bM,DaBaby,VIBEZ,88
364spZLB5bhNlnPrzvUB41,A Boogie Wit da Hoodie,Reply (feat. Lil Uzi Vert),80
5ravc2aiNoYmu9m37diYXW,Roddy Ricch,Start Wit Me (feat. Gunna),83
0jBJIQuToUUOEx7JJkiPzm,Flipp Dinero,How I Move (feat. Lil Baby),69
40QmDP485PDepnUOGJlbUP,YNW Melly,I Ain't Lying,0
5hDAT527wXWNBnJlujhuUs,Lil Mosey,Stuck In A Dream (feat. Gunna),85
0c7K73roy6RW4ebDkf4yGh,24kGoldn,VALENTINO,88
4IO8X9W69dIQe0EC5ALXhq,21 Savage,Immortal,85
6klLvorLoo1sxvZcjJIY8I,YoungBoy Never Broke Again,Make No Sense,86
4sWuPniHClkInYAnzXAYUF,NLE Choppa,Camelot,90
5r7WvQtyPfy1xch5zMgGRp,Drake,Behind Barz - Bonus,84
0UPBidRYcgJ2mjZlk08V8x,Lil Tjay,F.N,82
3QzAOrNlsabgbMwlZt7TAY,Mustard,Ballin' (with Roddy Ricch),87
5FkoSXiJPKTNyYgALRJFhD,Baby Keem,ORANGE SODA,78
735RSTb2xbtWbDtKD9XDYi,Internet Money,Somebody,85
1GeNui6m825V8jP4uKiIaH,Young Thug,Bad Bad Bad (feat. Lil Baby),86
09TZsMHXEtQkdmMJZPLKup,Stunna 4 Vegas,Up The Smoke (with Offset),72
1CCDIow4pPYyJYzhtTUYz2,DaBaby,RAW SHIT (feat. Migos),81
6YfTl5YupXOQBKiJJLrxcw,Trippie Redd,Death (feat. DaBaby),78
7qvsl2pYzrsYgPeFBN5jxp,Doja Cat,Juicy,83
5MVdzbNmCVf9cWbkqFakkr,Roddy Ricch,Big Stepper,80
00ko9WaS4jOX1kEk3gvHjf,Chance the Rapper,Hot Shower,86
2xE16muNCmhZwSOv3i1d1H,A Boogie Wit da Hoodie,Mood Swings,81
34e2WyzmjG2aDk7KykOOZZ,Pardison Fontaine,Take It Down (feat. Offset),48
2Xo3rLHjXfdb4avN68aQyi,Russ,BEST ON EARTH (feat. BIA),83
050ud0e5cmIYjmXplDugVQ,Kash Doll,Ready Set (feat. Big Sean),72
6kyT7ubem08Egg9a8f77OL,YoungBoy Never Broke Again,Self Control,66
6fWa5CRgy0z30OeGZyMBvD,Rod Wave,Heart On Ice,75
0hGH0S74Eoyv6mXZcOKtdQ,Post Malone,On The Road (feat. Meek Mill & Lil Baby),66
4E08gEca6avoGx5SS4MM6T,Lil Mosey,G Walk (with Chris Brown),74
03i4lR6ZZo0214WhmrE8t9,Lil Tjay,Hold On,73
7cyeGclH71MayOuQ7qtLFl,Young M.A,BIG,78
6UFEJuDXQMWhL5UH5f9fUR,Post Malone,Enemies (feat. DaBaby),68
6VYXuUz1nYMap8gtqeIrQB,Tyla Yaweh,I Think I Luv Her,78
5FDCDBFDKpf7TLzDx6r2Lp,Gucci Mane,Big Boy Diamonds (feat. Kodak Black & London On Da Track),77
4SDgTLDYrJ2UrHbkRkg7MD,Lil Nas X,Panini - DaBaby Remix,85
2NSWi83peog6gHerzlMCqU,Trippie Redd,Love Me More,80
3fx31TjnwvwZIyAGHhOhA1,NLE Choppa,Forever,77
1wTH87zcNcR4vn1iJLDv0c,Future,Last Name (feat. Lil Durk),71
4HPTladgOGcGzleMR3I0FK,Ski Mask The Slump God,Carbonated Water,77
0mTKJnVf6GcujyDr1PZn0Q,Tory Lanez,Jerry Sprunger (with T-Pain),78
7kex0hl1dCvv6UqqZKGi1t,Lil Baby,"Catch The Sun - From ""Queen & Slim: The Soundtrack""",69
5dS2dvXVPe7AR6UwBpnomW,David Guetta,Make It To Heaven (with Raye),38
4QAUGy6k7c3IOAhgWz52r7,Avicii,Heaven - David Guetta & MORTEN Remix,72
35MKhw2YBKApmD7fAnPERC,Galantis,Faith (with Dolly Parton) [feat. Mr. Probz],78
6m8SIT10j41SPpPFOknTmP,ILLENIUM,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],68
7x4CLIbKdDm2XrD1df1DGI,Various Artists,mmmminty,0
7JHdotEeGSIbtFuo4dVvsC,Alesso,In The Middle,71
5OjDZNHerI7RrIHFJajOMD,Breathe Carolina,Too Good,59
2O5nUHrtyIAmUyzRUaRHO5,Nicky Romero,Love You Forever - Metrush Remix,57
6xfT4ubp1ETiqfDtUbdYHI,SNO,Light Me Up,44
